pt,cross
0.0, 0.00006646310783540042
0.3, 0.00006646310783540042
0.6, 0.00006404004271197282
0.9, 0.00006170531598835199
1.2, 0.000057288112837756064
1.5, 0.00004937969317714344
1.8, 0.00004256300264549499
2.1, 0.000035349811050301094
2.4, 0.000028288694346259665
2.7, 0.000021017480113324872
3.0, 0.000015045941012517134
3.3, 0.000010378367193526983
3.6, 0.000006404004271197283
3.9, 0.0000039516110714498495
4.2, 0.000002263803409521451
4.5, 0.0000012496091412919893
4.8, 6.646310783540055e-7
5.1, 3.5349811050301095e-7
5.4, 2.0251239642430092e-7
5.7, 1.1178591777554069e-7
6.0, 6.404004271197296e-8
6.5, 2.7257365073673226e-8
7.0, 1.2496091412919918e-8
7.5, 5.945570708544431e-9
8.0, 2.8288694346259783e-9
